001		46662	スボミー
002		46663	リーフィア
003	ic_rare_rr	46664	リーフィアex
004		46665	モンメン
005		46666	エルフーン
006		46667	サルノリ
007		46668	バチンキー
008		46669	カジッチュ
009		46670	カミッチュ
010	ic_rare_rr	46671	カミツオロチex
011		46672	アノクサ
012		46673	アノホラグサ
013		46674	シガロコ
014		46675	ベラカス
015		46676	チオンジェン
016	ic_rare_rr	46677	テツノイサハex
017		46678	チャデス
018		46679	ヤバソチャ
019	ic_rare_rr	46680	ヤバソチャex
020	ic_rare_rr	46681	オーガポン みどりのめんex
021		46682	ブースター
022	ic_rare_rr	46683	ブースターex
023		46684	カルボウ
024		46685	テツノドクガ
025		46686	イーユイ
026	ic_rare_rr	46687	オーガポン かまどのめんex
027	ic_rare_rr	46688	ウガツホムラex
028		46689	トサキント
029		46690	アズマオウ
030		46691	シャワーズ
031	ic_rare_rr	46692	シャワーズex
032		46693	ワニノコ
033		46694	アリゲイツ
034		46695	オーダイル
035		46696	ヒンバス
036		46697	ミロカロス
037		46698	ユキワラシ
038		46699	ユキメノコ
039	ic_rare_rr	46700	ガブリアスex
040		46701	グレイシア
041	ic_rare_rr	46702	グレイシアex
042		46703	ウミディグダ
043		46704	ウミトリオ
044		46705	ナミイルカ
045		46706	イルカマン
046	ic_rare_rr	46707	イルカマンex
047		46708	テツノツツミ
048		46709	パオジアン
049	ic_rare_rr	46710	ウネルミナモex
050	ic_rare_rr	46711	オーガポン いどのめんex
051		46712	サンダース
052	ic_rare_rr	46713	サンダースex
053		46714	ゼラオラ
054	ic_rare_rr	46715	テツノカイナex
055		46716	テツノイバラ
056	ic_rare_rr	46717	テツノイバラex
057		46718	ケーシィ
058		46719	ユンゲラー
059		46720	フーディン
060		46721	ネイティ
061		46722	ネイティオ
062		46723	エーフィ
063	ic_rare_rr	46724	エーフィex
064		46725	ヨマワル
065		46726	サマヨール
066		46727	ヨノワール
067		46728	ペロッパフ
068		46729	ニンフィア
069	ic_rare_rr	46730	ニンフィアex
070		46731	ソウブレイズ
071		46732	サケブシッポ
072		46733	ハバタクカミ
073		46734	コレクレー
074	ic_rare_rr	46735	テツノブジンex
075		46736	マシマシラ
076		46737	キチキギス
077		46738	テツノイワオ
078	ic_rare_rr	46739	テツノカシラex
079		46740	ジーランス
080		46741	グラードン
081		46742	フカマル
082		46743	ガバイト
083		46744	モグリュー
084		46745	ルチャブル
085		46746	ガチグマ アカツキ
086		46747	イダイナキバ
087		46748	チヲハウハネ
088	ic_rare_rr	46749	スナノケガワex
089		46750	ディンルー
090		46751	イイネイヌ
091	ic_rare_rr	46752	オーガポン いしずえのめんex
092		46753	ブラッキー
093	ic_rare_rr	46754	ブラッキーex
094		46755	ヤブクロン
095		46756	ダストダス
096		46757	ゾロア
097		46758	ゾロアーク
098		46759	モルペコ
099		46760	アラブルタケ
100		46761	トドロクツキ
101	ic_rare_rr	46762	トドロクツキex
102	ic_rare_rr	46763	イイネイヌex
103	ic_rare_rr	46764	マシマシラex
104	ic_rare_rr	46765	キチキギスex
105	ic_rare_rr	46766	モモワロウex
106		46767	ダンバル
107		46768	メタング
108		46769	ジラーチ
109		46770	ヒトツキ
110		46771	ニダンギル
111		46772	ギルガルド
112		46773	ジュラルドン
113		46774	ブリジュラス
114		46775	ブロロン
115		46776	ブロロローム
116		46777	テツノワダチ
117	ic_rare_rr	46778	サーフゴーex
118		46779	ドラメシヤ
119		46780	ドロンチ
120	ic_rare_rr	46781	ドラパルトex
121		46782	シャリタツ
122		46783	コライドン
123		46784	ミライドン
124	ic_rare_rr	46785	タケルライコex
125		46786	イーブイ
126	ic_rare_rr	46787	イーブイex
127		46788	ホーホー
128		46789	ヨルノズク
129		46790	ノコッチ
130		46791	ノココッチ
131		46792	スピンロトム
132		46793	レジギガス
133		46794	バッフロン
134	ic_rare_rr	46795	ガチグマ アカツキex
135		46796	テツノコウベ
136	ic_rare_rr	46797	テラパゴスex
137		46798	鬼の仮面
138		46799	改造ハンマー
139		46800	カウンターキャッチャー
140		46801	ガラスのラッパ
141		46802	スーパーエネルギー回収
142		46803	つりざおMAX
143		46804	大地の器
144		46805	テクノレーダー
145		46806	テラスタルオーブ
146		46807	トレジャーガジェット
147		46808	なかよしポフィン
